digit blackness_ratio aspect_ratio number_of_holes top_blackness_ratio bottom_blackness_ratio left_blackness_ratio right_blackness_ratio horizontal_line_ratio vertical_line_ratio
0 0.833333333333 0.666666666667 1 0.84126984127 0.825396825397 0.910714285714 0.771428571429 1.0 1.0
0 0.861111111111 0.588235294118 1 0.847222222222 0.875 0.921875 0.8125 1.0 1.0
0 0.515151515152 0.631578947368 1 0.525252525253 0.505050505051 0.555555555556 0.481481481481 0.727272727273 0.888888888889
0 0.654761904762 0.615384615385 1 0.642857142857 0.666666666667 0.638888888889 0.666666666667 0.857142857143 0.833333333333
0 0.513888888889 0.588235294118 1 0.486111111111 0.541666666667 0.53125 0.5 0.777777777778 0.8125
0 0.595238095238 0.666666666667 1 0.571428571429 0.619047619048 0.553571428571 0.628571428571 0.777777777778 0.857142857143
0 0.598039215686 0.722222222222 1 0.614583333333 0.583333333333 0.598039215686 0.598039215686 0.833333333333 0.882352941176
0 0.6375 0.647058823529 1 0.6625 0.6125 0.6625 0.6125 0.9 0.875
0 0.65811965812 0.714285714286 1 0.666666666667 0.650793650794 0.673076923077 0.646153846154 0.777777777778 1.0
0 0.58125 0.647058823529 1 0.5375 0.625 0.5875 0.575 0.8 0.875
0 0.539682539683 0.727272727273 1 0.566666666667 0.515151515152 0.544217687075 0.535714285714 0.8 0.857142857143
0 0.735714285714 0.733333333333 1 0.728571428571 0.742857142857 0.728571428571 0.742857142857 0.9 1.0
0 0.75 0.722222222222 1 0.739583333333 0.759259259259 0.705882352941 0.794117647059 1.0 1.0
0 0.595238095238 0.666666666667 1 0.634920634921 0.555555555556 0.625 0.571428571429 0.777777777778 0.785714285714
0 0.583333333333 0.722222222222 1 0.583333333333 0.583333333333 0.56862745098 0.598039215686 0.75 0.941176470588
0 0.676136363636 0.705882352941 1 0.681818181818 0.670454545455 0.725 0.635416666667 0.818181818182 1.0
0 0.623376623377 0.652173913043 1 0.655844155844 0.590909090909 0.623376623377 0.623376623377 0.857142857143 0.954545454545
0 0.58125 0.647058823529 1 0.5875 0.575 0.575 0.5875 0.7 0.875
0 0.513605442177 0.681818181818 1 0.5 0.525974025974 0.517006802721 0.510204081633 0.571428571429 0.904761904762
0 0.726851851852 0.684210526316 1 0.731481481481 0.722222222222 0.731481481481 0.722222222222 0.916666666667 0.944444444444
0 0.678571428571 0.6 1 0.696428571429 0.660714285714 0.696428571429 0.660714285714 0.875 0.928571428571
0 0.7125 0.647058823529 1 0.6875 0.7375 0.7 0.725 0.7 1.0
0 0.583333333333 0.722222222222 1 0.583333333333 0.583333333333 0.578431372549 0.588235294118 0.666666666667 0.941176470588
0 0.861111111111 0.588235294118 1 0.875 0.847222222222 0.90625 0.825 1.0 1.0
0 0.666666666667 0.636363636364 1 0.676923076923 0.657342657343 0.706349206349 0.632653061224 0.538461538462 0.952380952381
0 0.676767676768 0.631578947368 1 0.646464646465 0.707070707071 0.777777777778 0.592592592593 0.636363636364 0.944444444444
0 0.518315018315 0.814814814815 1 0.52380952381 0.512820512821 0.538461538462 0.5 0.619047619048 1.0
0 0.432692307692 0.62962962963 1 0.442307692308 0.423076923077 0.4375 0.427884615385 0.5 0.846153846154
0 0.410714285714 0.586206896552 1 0.410714285714 0.410714285714 0.401785714286 0.419642857143 0.5625 0.714285714286
0 0.545248868778 0.666666666667 1 0.570135746606 0.52036199095 0.576923076923 0.517094017094 0.411764705882 0.961538461538
0 0.584586466165 0.689655172414 1 0.586466165414 0.582706766917 0.599206349206 0.571428571429 0.736842105263 0.857142857143
0 0.491638795987 0.888888888889 1 0.491638795987 0.491638795987 0.51048951049 0.474358974359 0.565217391304 0.807692307692
0 0.389423076923 0.62962962963 1 0.403846153846 0.375 0.403846153846 0.375 0.4375 0.730769230769
0 0.354251012146 0.740740740741 1 0.376518218623 0.331983805668 0.294871794872 0.407692307692 0.421052631579 0.615384615385
0 0.841176470588 0.611111111111 1 0.85 0.833333333333 0.823529411765 0.858823529412 1.0 1.0
0 0.584134615385 0.62962962963 1 0.5625 0.605769230769 0.576923076923 0.591346153846 0.5625 0.961538461538
0 0.554421768707 0.758620689655 1 0.557823129252 0.551020408163 0.553571428571 0.555194805195 0.761904761905 0.892857142857
0 0.35119047619 0.6 1 0.35119047619 0.35119047619 0.35119047619 0.35119047619 0.714285714286 0.75
0 0.35119047619 0.6 1 0.345238095238 0.357142857143 0.357142857143 0.345238095238 0.571428571429 0.75
0 0.502314814815 0.76 1 0.50462962963 0.5 0.5 0.50462962963 0.722222222222 0.791666666667
0 0.404718693285 0.666666666667 1 0.413533834586 0.39649122807 0.429118773946 0.38275862069 0.578947368421 0.827586206897
